รหัสต้นไม้,ชื่อไทย,Latitude,Longitude,ความสูง (เมตร),เส้นรอบวง (เมตร),ปริมาณการดูดซับคาร์บอนไดออกไซด์ (กิโลกรัมต่อไร่),ปริมาณการปล่อยออกซิเจน (กิโลกรัมต่อไร่)
01-001-001,ชมพูพันธุ์ทิพย์,7.903324,98.351244,3.4,0.3,ไม่ระบุ,ไม่ระบุ
01-001-002,ชมพูพันธุ์ทิพย์,7.903397,98.350655,5.2,0.43,ไม่ระบุ,ไม่ระบุ
01-021-001,ตีนเป็ด,7.903429,98.351475,17.22,1.78,ไม่ระบุ,ไม่ระบุ
01-022-001,ไทร,7.90391,98.351489,28.79,50,ไม่ระบุ,ไม่ระบุ
01-028-001,หูกวาง,7.904441,98.351243,18.52,3.45,ไม่ระบุ,ไม่ระบุ
02-014-001,ประดู่ป่า,7.898826,98.359192,8,0.6,210.50,153.09
02-017-001,ราชพฤกษ์,7.896600395,98.35970898,4.18,0.34,36.78,26.75
02-037-001,ประดู่บ้าน,7.898718354,98.35914094,8,1.42,1168.15,849.56
02-039-001,ส้านใหญ่,7.898869116,98.35885426,9.5,0.92,579.34,421.34
03-002-001,ยอป่า,7.887972147,98.34124543,13.3,0.22,45.79,33.30
03-002-002,ยอป่า,7.883767,98.335533,8.9,1.3,1083.11,787.72
03-002-003,ยอป่า,7.879975,98.332415,6.9,0.85,366.80,266.77
03-002-004,ยอป่า,7.881541374,98.33025295,12.6,1.25,1386.59,1008.43
03-002-005,ยอป่า,7.891083,98.334505,5.8,0.92,364.89,265.38
